                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.70467,                  0.534,                 1.0426,                0.89877,                0.82345,                0.89674,                0.64794,                 1.0519,                0.71174,                  1.163,              0.0004754,              0.0004754,              0.0004754
                     79,                0.69923,                0.53296,                 1.0372,                 0.8895,                 0.8223,                0.89856,                0.64352,                 1.0624,                 0.7297,                 1.1711,              0.0004556,              0.0004556,              0.0004556
                     80,                0.68413,                0.52321,                 1.0351,                0.89422,                 0.8181,                0.88713,                0.64177,                 1.0585,                0.72736,                 1.1838,              0.0004358,              0.0004358,              0.0004358
                     81,                0.69765,                0.52755,                 1.0389,                 0.9016,                0.82516,                0.89607,                0.64699,                 1.0553,                0.69946,                 1.1771,               0.000416,               0.000416,               0.000416
                     82,                0.68123,                0.51896,                 1.0328,                0.89395,                0.82258,                0.90063,                0.65011,                  1.037,                0.69766,                 1.1428,              0.0003962,              0.0003962,              0.0003962
                     83,                0.67762,                0.51493,                 1.0283,                0.90019,                0.81452,                0.90173,                0.65333,                 1.0366,                0.70874,                  1.154,              0.0003764,              0.0003764,              0.0003764
                     84,                0.67362,                0.51652,                 1.0275,                 0.9084,                0.81307,                0.90474,                0.65011,                  1.044,                0.70712,                 1.1647,              0.0003566,              0.0003566,              0.0003566
                     85,                0.67374,                0.50666,                 1.0279,                0.92122,                0.80511,                0.89678,                0.65206,                 1.0407,                0.71501,                  1.169,              0.0003368,              0.0003368,              0.0003368
                     86,                0.65829,                0.49917,                 1.0166,                0.91592,                0.80914,                0.89581,                0.65048,                 1.0466,                0.71615,                 1.1638,               0.000317,               0.000317,               0.000317
                     87,                0.66786,                0.50205,                  1.026,                0.90634,                0.81939,                0.89525,                0.65042,                 1.0478,                0.70619,                 1.1604,              0.0002972,              0.0002972,              0.0002972
                     88,                0.65386,                0.49636,                 1.0196,                0.90367,                0.82258,                0.89558,                0.65021,                 1.0471,                0.71728,                 1.1659,              0.0002774,              0.0002774,              0.0002774
                     89,                0.65048,                0.48921,                 1.0221,                0.91908,                0.80915,                0.89386,                0.65489,                 1.0348,                0.70126,                 1.1568,              0.0002576,              0.0002576,              0.0002576
                     90,                0.64662,                0.48737,                 1.0216,                0.93106,                0.80376,                0.90186,                0.65649,                  1.029,                 0.7006,                 1.1481,              0.0002378,              0.0002378,              0.0002378
                     91,                0.56083,                0.37115,                0.96729,                0.89623,                0.82796,                 0.8976,                0.64878,                  1.046,                0.71919,                 1.1669,               0.000218,               0.000218,               0.000218
                     92,                0.53808,                0.35033,                0.95304,                0.90136,                0.82124,                0.90329,                 0.6598,                 1.0285,                0.70295,                 1.1569,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.5328,                0.34316,                0.94676,                0.87706,                 0.8342,                0.90089,                0.65711,                 1.0294,                0.70786,                 1.1622,              0.0001784,              0.0001784,              0.0001784
                     94,                0.52017,                0.33694,                0.94239,                0.87675,                0.84812,                0.89968,                0.65987,                 1.0231,                0.70755,                 1.1557,              0.0001586,              0.0001586,              0.0001586
                     95,                0.52099,                0.33464,                 0.9448,                0.89231,                0.83468,                0.90159,                0.66466,                 1.0195,                0.70253,                 1.1534,              0.0001388,              0.0001388,              0.0001388
                     96,                0.51461,                0.33487,                0.94372,                0.89546,                0.82898,                0.90151,                0.66475,                  1.021,                0.70326,                 1.1508,               0.000119,               0.000119,               0.000119
                     97,                0.50399,                0.32979,                0.93756,                0.91001,                0.82911,                0.89842,                0.66522,                 1.0209,                0.70121,                   1.15,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.50164,                0.32304,                0.93113,                0.90913,                0.83333,                0.90086,                0.66465,                  1.019,                0.69852,                 1.1568,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.50757,                0.32888,                0.94308,                0.90775,                0.83333,                0.90353,                0.66369,                 1.0251,                 0.6965,                 1.1605,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.49822,                0.32174,                0.93274,                0.90179,                0.83925,                0.90308,                0.66975,                  1.016,                0.68348,                 1.1554,               3.98e-05,               3.98e-05,               3.98e-05
